epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.6191,1.30845,7.24329,0.77525,1.44123,1.75575,0.78167,0.82134,0.85058,0.5069,0.36851,0.21364,0.16065,0.03668,1.42823,8.00867,0.89304,1.05704,2.05166,0.0672357,0.000330952,0.000330952
2,73.7572,1.23492,7.0094,0.75935,1.35622,1.70163,0.87883,0.7937,0.87716,0.52175,0.39112,0.27238,0.18589,0.04086,1.40619,7.7155,0.89594,0.94502,2.04552,0.0342324,0.000660997,0.000660997
3,97.74,1.25798,6.90211,0.76194,1.3555,1.70697,0.83732,0.80455,0.88856,0.52997,0.38086,0.29371,0.21023,0.04379,1.37186,7.63515,0.86891,0.89261,2.02199,0.00122584,0.000987743,0.000987743
4,119.801,1.22393,6.76924,0.75265,1.33336,1.68459,0.86026,0.78868,0.886,0.53434,0.41689,0.29825,0.21853,0.0458,1.35866,7.62659,0.87276,0.88557,1.98826,0.00098515,0.00098515,0.00098515
5,142.239,1.2199,6.72086,0.75655,1.31591,1.68633,0.85355,0.7958,0.90127,0.52308,0.36405,0.33145,0.21701,0.04053,1.40032,7.551,0.87078,0.90884,2.05295,0.0009802,0.0009802,0.0009802
6,164.21,1.23457,6.81507,0.75998,1.32272,1.71098,0.80601,0.82764,0.88657,0.5155,0.36811,0.29056,0.19293,0.04495,1.40936,7.56365,0.87815,0.90015,2.05853,0.00097525,0.00097525,0.00097525
7,186.192,1.20443,6.75741,0.75657,1.30059,1.67855,0.87188,0.83935,0.91469,0.52464,0.38817,0.29965,0.19864,0.04272,1.42484,7.54284,0.87126,0.84952,2.0693,0.0009703,0.0009703,0.0009703
8,207.937,1.21542,6.65544,0.76501,1.30872,1.68552,0.83063,0.86526,0.90619,0.54099,0.33376,0.2951,0.19497,0.04647,1.39362,7.49021,0.87243,0.8579,2.02284,0.00096535,0.00096535,0.00096535
9,230.068,1.192,6.94922,0.76751,1.27613,1.6583,0.806,0.85344,0.88286,0.52753,0.37399,0.28287,0.1986,0.04522,1.41048,7.45938,0.87716,0.89089,2.05615,0.0009604,0.0009604,0.0009604
10,251.439,1.23293,6.66496,0.75386,1.32179,1.69837,0.79169,0.85162,0.89031,0.53644,0.3686,0.26899,0.19595,0.04429,1.38828,7.52397,0.87633,0.91182,2.00957,0.00095545,0.00095545,0.00095545
11,273.327,1.23723,6.82301,0.75951,1.31996,1.69663,0.86647,0.82938,0.89691,0.53936,0.3417,0.27343,0.16866,0.03678,1.3676,7.54379,0.87515,0.8777,1.998,0.0009505,0.0009505,0.0009505
12,294.936,1.22914,6.84991,0.77667,1.30728,1.68511,0.86165,0.83092,0.90326,0.54595,0.42352,0.28601,0.20302,0.04482,1.38719,7.48539,0.86703,0.871,2.02669,0.00094555,0.00094555,0.00094555
13,317.379,1.18379,6.59606,0.74413,1.28595,1.6618,0.82834,0.83448,0.89677,0.53526,0.38838,0.29825,0.18425,0.0428,1.38426,7.4776,0.86984,0.9127,2.01476,0.0009406,0.0009406,0.0009406
14,338.641,1.22506,6.63165,0.75827,1.3102,1.69345,0.84805,0.83472,0.91019,0.53864,0.34572,0.28287,0.18695,0.03968,1.39446,7.48989,0.87294,0.89124,2.03008,0.00093565,0.00093565,0.00093565
